,EMP_ID,NAME,AGE,GENDER,ADDRESS,EMAIL,MOBILE_NO,AADHAAR_NO,DATE_OF_BIRTH,DESIGNATION,ANNUAL_SAL,GROSS_SAL,NET_SAL
0,664912,Jayant Ravel,26,Male,Gurgaon,jayant.ravel26@synnotech.com,6428377800,869984176500,1998-11-04,ETL Developer,742119,61843.25,56843.25
1,789633,Shalv Bhagat,48,,Kavali,shalv.bhagat48@synnotech.com,6069964636,479798541719,1976-06-15,Python Developer,1414396,117866.33333333331,112866.33333333331
2,712008,Abram Tak,36,,Kalyan-Dombivli,abram.tak36@synnotech.com,8595126386,485312080227,1988-07-01,Python Developer,1342738,111894.83333333331,106894.83333333331
3,555500,Nirvi Malhotra,45,Female,Gulbarga,nirvi.malhotra45@synnotech.com,6784773792,542700857836,1979-10-14,ML Engineer,1342030,111835.83333333331,106835.83333333331
4,738037,Nakul Anne,24,Female,Bally,nakul.anne24@synnotech.com,8504461273,980583445449,2000-02-25,ETL Developer,682421,56868.41666666666,51868.41666666666
5,787475,Neysa Mandal,53,Male,Bhatpara,neysa.mandal53@synnotech.com,6638041529,163808575267,1971-03-24,Java Developer,854035,71169.58333333333,66169.58333333333
6,669241,Jivin Lala,36,Male,Sonipat,jivin.lala36@synnotech.com,6870835188,324518792874,1988-04-24,Java Developer,711961,59330.083333333336,54330.083333333336
7,628072,Diya Bhalla,40,,Aurangabad,diya.bhalla40@synnotech.com,7833337534,109664801641,1984-07-02,Python Developer,1151200,95933.33333333331,90933.33333333331
8,739304,Darshit Varughese,47,Female,Bhind,darshit.varughese47@synnotech.com,7212231453,659126612068,1977-01-17,Data Engineer,1194292,99524.33333333331,94524.33333333331
9,723606,Madhav Mann,34,,Pondicherry,madhav.mann34@synnotech.com,9160380373,56944436039,1990-07-20,Data Engineer,1168626,97385.5,92385.5
10,650361,Neysa Contractor,29,Female,Vijayanagaram,neysa.contractor29@synnotech.com,8762400105,883143176813,1995-08-06,ML Engineer,1197818,99818.16666666669,94818.16666666669
11,828680,Inaaya  Varty,45,Male,Bhusawal,inaaya.varty45@synnotech.com,8777369605,847517670656,1979-01-04,Java Developer,761229,63435.75,58435.75
